EventDay,EventSlug,EventName,EventDescription,EventStart,EventEnd,EventAttire,EventLocation,EventIntroText
Friday,Check-In,Check In,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,3pm,5pm,Any,,
Friday,White-Party,White Party,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,6pm,10pm,white clothes?,,
Friday,After-Party,After Party,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,10pm,2am,Any,,
Saturday,Breakfast,Brunch,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,7am,9am,Any,,
Saturday,Beach-Olympics,Beach,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,11am,1pm,"Swimsuit, athletic wear",,
Saturday,Free-Time,Freetime,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,1pm,7pm,Any,,
Saturday,Black-Tie-Dinner,Dinner,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,7pm,9pm,formal black tie,,
Saturday,After-Party,After Party,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,9pm,11pm,Any,,
Sunday,Breakfast,Breakfast,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,8am,9am,Any,,
Sunday,Check-out,Checkout,Describe the event consectetur adipiscing elit. Nam non augue dapibus ipsum lacinia condimentum eu sed mauris. Sed et hendrerit nulla. Donec lobortis eget leo molestie egestas.,9am,,,,
